                        Natural Gas Pipeline Projects,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,Project Name,Pipeline Operator Name,Project Type,Status,Completed Date,Year In Service Date,State(s),Beg_State,End_State,Region(s),Beg_Region,End_Region,Thru_Region, Cost (millions) , Miles ,Additional Capacity (MMcf/d),Pipeline Diameter (Inches),Pipeline Type,Authority,Docket Number,Crosses State Border,Project Notes,Demand Served,Website
9/1/2016,(SEML) Southeast Mainline System Reversal,ANR Pipeline,Reversal,Completed,12/1/2015,2015,"IN,KY,TN,MS,AR,LA",IN,LA,"Midwest, South Central",Midwest,South Central,,50,,750,, Interstate ,FERC,na,Yes,,,
12/28/2022,134th Street Lateral Project,Nat Gas P L Co of America,Lateral,Completed,8/20/2021,2021,"IL,IN",IL,IN,Midwest,Midwest,Midwest,,  16 ,  1.4 ,70,20,Interstate,FERC,CP20-14,Yes,New lateral to replace existing pipeline; deliveries to NIPSCO in IN,LDC,
3/17/2011,2010 System Enhancement Project,Wyoming Interstate Gas Co,Expansion,Completed,11/1/2010,2010,WY,WY,WY,Mountain,Mountain,Mountain,,71,  2 ,  285 ,20,Interstate,FERC,CP10-13,,,,
3/16/2013,2011 system expansion,Eastern Shore Natural Gas,Expansion,Completed,,2012,"DE,MD",DE,MD,Northeast,Northeast,Northeast,,13,  22 ,  6 ,"6,10",Interstate,FERC,CP11-333,,,,
9/26/2015,2015 Elko Area Expansion Project,Paiute Pipeline,Lateral,Completed,10/7/2015,2015,NV,NV,NV,Mountain,Mountain,Mountain,,,  35 ,  22 ,,Interstate,FERC,CP14-509,No,,,
12/20/2018,2018 Paiute Expansion Project,Paiute Pipeline,Expansion,Completed,12/4/2018,2018,NV,NV,NV,Mountain,Mountain,Mountain,,17.95,8.46,4.604," 12,20 ", Intrastate ,FERC,CP17-471,No,,,
1/7/2022,2021 Auburn A-line Abandonment and Capacity Replacement Project,Northern Natural Gas Co,Upgrade,Completed,8/11/2021,2021,NE,NE,NE,Mountain,Mountain,Mountain,,  8 ,  4 ,,  8 , Intrastate ,FERC,CP20-479,No,"Abandon in-place Auburn A-Line and construct a branch line loop in Lancaster and Otoe counties, Nebraska.",,
10/15/2021,261 Upgrade Projects,Tennessee Gas Pipeline Co,Expansion,Completed,10/6/2021,2021,"MA,CT",MA,CT,Northeast,Northeast,Northeast,,  6 ,  2 ,72,12,Interstate,FERC,CP19-7,Yes,Additional capacity into New England market,,https://www.kindermorgan.com/Operations/Projects/261-Upgrade-Projects
11/1/2011,300 Line Expansion Project,Tennessee Gas Pipeline Co,Expansion,Completed,11/1/2011,2011,"PA,NJ",PA,NJ,Northeast,Northeast,Northeast,,  643 ,  127 ,  350 ,30,Interstate,FERC,CP09-444,,,,
8/16/2016,Abandonment (sale of) Stage Coach Lateral,Tennessee Gas Pipeline Co,Abandonment,Completed,12/12/2006,2006,"NY,PA",NY,PA,Northeast,Northeast,Northeast,,,  24 ,-487,"24,30",Interstate,FERC,CP07-13,,,,
3/7/2011,Acadian Haynesville Extension,Enterprise Products Partners,New Pipeline,Completed,11/1/2011,2011,LA,LA,LA,South Central,South Central,South Central,,"  1,500 ",270,1800," 30, 36, 42 ", Intrastate ,State,na,,,,
6/1/2023,Acadian Haynesville Extension,Enterprise Products Partners,Expansion,Completed,5/31/2023,2023,LA,LA,LA,South Central,South Central,South Central,,"  3,800 ",  275 ,400,,Intrastate,,,No,"The project adds compression, increasing capacity on the Acadian Gas System to 2.5 Bcf/d; provides takeaway capacity for Haynesville producers to meet growing industrial demand in the Mississippi River Corridor and supports the LA LNG export mkt","LDC, Industrial, Electric, LNG",Press Release
12/28/2022,Acadiana Project,Kinder Morgan Energy Partners,Expansion,Completed,10/1/2021,2021,LA,LA,LA,South Central,South Central,South Central,,  143 ,,894,,Interstate,FERC,CP19-484,No,Takeaway capacity out of Haynesville to serve Sabine Pass. ,LNG,
1/24/2018,Access Northeast,Algonquin Gas Transmission,Expansion,Cancelled,,,"NY,CT,MA",NY,MA,Northeast,Northeast,Northeast,,"  3,000 ",123.00,925,,Interstate,FERC,na,Yes,,,
11/29/2017,Access South Project,Texas Eastern Transmission,Reversal,Completed,10/31/2017,2017,"PA,WV,OH,KY,TN,AL,MS",PA,MS,"Northeast, Midwest, South Central",Northeast,South Central,Midwest,  256 ,,  320 ,,Interstate,FERC,CP16-3,Yes,,,
8/16/2016,Acquire Stage Coach Lateral,Central New York Oil & Gas,Lateral,Completed,12/12/2006,2006,"NY,PA",NY,PA,Northeast,Northeast,Northeast,,,  24 ,487,"24,30",Interstate,FERC,CP07-15,,,,
6/26/2009,Acuna Export Crossing,West Texas Gas Co,Lateral,Completed,10/14/2004,2004,"TX,MX",TX,MX,"South Central, Mexico",South Central,Mexico,,  2 ,  9 ,  25 ,8,Interstate,FERC,CP02-97,,,,
11/29/2017,Adair Southwest Project,Texas Eastern Transmission,Reversal,Completed,10/31/2017,2017,"PA,WV,OH,KY",PA,KY,"Northeast, Midwest",Northeast,Midwest,,  127 ,,  200 ,,Interstate,FERC,CP16-3,Yes,,,
7/7/2023,Adelphia Gateway Project,Adelphia,Conversion,Completed,12/16/2022,2022,PA,PA,PA,Northeast,Northeast,Northeast,,  143 ,  5 ,850,"18,20",Interstate,FERC,CP18-46,No,"Convert existing pipeline from oil to natural gas; Deliver supply into Philadelphia market down to Marcus Hook. See FERC doc, submittal 20221228-5148, 12/20/2022 - commencement of service notice","LDC, Industrial, Electric",https://adelphiagateway.com/
1/14/2022,AGL International Paper Pipeline,Atlanta Gas Light,Lateral,Completed,8/31/2021,2021,GA,GA,GA,Southeast,Southeast,Southeast,,  22 ,  9 ,12,12,Intrastate,GPSC,,No,"Build pipeline to the International Paper plant in Coosa, Georgia",Industrial,
1/28/2021,Agua Blanca Expansion Project,WhiteWater,Expansion,Completed,1/27/2021,2021,TX,TX,TX,South Central,South Central,South Central,,,,1800,  42 , Intrastate ,TX RRC,,No,"Allows for increased volues from Delaware Basin; announcement only states expansion from nominal capacity of 1.1 Bcf/d to ""over 3 Bcf/d""",,
11/19/2018,Agua Blanca Pipeline,WhiteWater,New Pipeline,Completed,4/1/2018,2018,TX,TX,TX,South Central,South Central,South Central,,,75,"1,250",  36 , Intrastate ,State,na,No,Takeaway capacity from Delaware basin to Waha/Trans-Pecos pipeline,,http://whitewatermidstream.com/operations 
3/22/2014,Aguirre LNG Pipeline,EcoElectrica,Lateral,Completed,5/2/2012,2012,PR,PR,PR,#N/A,#N/A,#N/A,,  50 ,42,186,  24 , Interstate ,FERC,CP95-35,,,,
1/16/2012,AIRPORT II COMPRESSION,Gulf South Pipeline,Expansion,Completed,4/30/2011,2011,AL,AL,AL,South Central,South Central,South Central,,,,  54 ,,Interstate,FERC,CP10-502,,,,
1/21/2021,Alabama Compressor Station Upgrade,AlaTenn Pipeline,Expansion,Completed,10/8/2020,2020,"MS, AL",MS,AL,South Central,South Central,South Central,,  5 ,,39,,Interstate,FERC,CP19-476,Yes,Increase compression on AlaTenn pipeline and increase deliveries to growing demand in Alabama; flow through compressor will increase from 59 MMcf/d to 97 MMcf/d,,
