,Last Updated Date,Project Name,Pipeline Operator Name,Project Type,Status,Completed Date,Year In Service Date,State(s),Beg_State,End_State,Region(s),Beg_Region,End_Region,Thru_Region, Cost (millions) , Miles ,Additional Capacity (MMcf/d),Pipeline Diameter (Inches),Pipeline Type,Authority,Docket Number,Crosses State Border,Project Notes,Demand Served,Website
9,8/16/2016,Abandonment (sale of) Stage Coach Lateral,Tennessee Gas Pipeline Co,Abandonment,Completed,12/12/2006,2006.0,"NY,PA",NY,PA,Northeast,Northeast,Northeast,,,  24 ,-487,"24,30",Interstate,FERC,CP07-13,,,,
13,1/24/2018,Access Northeast,Algonquin Gas Transmission,Expansion,Cancelled,,,"NY,CT,MA",NY,MA,Northeast,Northeast,Northeast,,"  3,000 ",123.00,925,,Interstate,FERC,na,Yes,,,
15,8/16/2016,Acquire Stage Coach Lateral,Central New York Oil & Gas,Lateral,Completed,12/12/2006,2006.0,"NY,PA",NY,PA,Northeast,Northeast,Northeast,,,  24 ,487,"24,30",Interstate,FERC,CP07-15,,,,
34,8/22/2016,Algonquin Incremental Market (AIM),Algonquin Gas Transmission,Expansion,Completed,12/30/2016,2016.0,"NJ,NY,CT,RI,MA",NJ,MA,Northeast,Northeast,Northeast,,  972 ,  37 ,  342 ,42,Interstate,FERC,CP14-96,Yes,"Majority of AIM project placed into service in October 2016. Last remaining facilities in service by Jan. 7, 2017.  EIA categorized all 342 Mmcf/d of project as completed in 2016 .",,
66,7/29/2019,Atlantic Bridge project Phase 1,Algonquin Gas Transmission,Expansion,Completed,11/1/2017,2017.0,"NJ,NY,CT,RI,MA",NJ,MA,Northeast,Northeast,Northeast,,,  -   ,  40 ,,Interstate,FERC,CP16-9,Yes,,,
67,2/26/2021,Atlantic Bridge Project Phase 2,Algonquin Gas Transmission,Expansion,Completed,1/25/2021,2021.0,"NJ,NY,CT,RI,MA",NJ,MA,Northeast,Northeast,Northeast,,  452 ,  6 ,93,42,Interstate,FERC,CP16-9,Yes,Incremental capacity increase into New England,,https://www.enbridge.com/projects-and-infrastructure/projects/atlantic-bridge 
144,6/26/2009,CGT Line A-5 Replacement,Columbia Gas Transmission,Expansion,Completed,2/8/2008,2008.0,NY,NY,NY,Northeast,Northeast,Northeast,,,8.8,,  30 , Interstate ,FERC,CP98-151,,,,
167,8/18/2016,Chippewa Export Permit,Empire Pipeline,Reversal,Completed,9/16/2010,2011.0,"NY,ON",NY,ON,"Northeast, Canada",Northeast,Canada,,  -   ,,350,, Interstate ,FERC,CP10-136,,,,
193,6/26/2009,CNG Capstone Project,Dominion Transmission,Expansion,Completed,11/1/2001,2001.0,"PA,NY",PA,NY,Northeast,Northeast,Northeast,,  64 ,  14 ,,30,Interstate,FERC,CP00-64,,,,
194,6/26/2009,CNG Empire Interconnect,Empire Pipeline,Expansion,Completed,12/15/1999,1999.0,NY,NY,NY,Northeast,Northeast,Northeast,,  2 ,  2 ,  100 ,12,Interstate,FERC,na,,,,
